City_ID,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
129,Ancud,-41.8697,-73.8203,10.13,70,100,1.77,CL,1662997808
130,Gondanglegi,-7.7479,112.0132,24.24,85,35,3.78,ID,1662997808
131,Jinka,5.65,36.65,21.59,62,94,0.72,ET,1662997809
132,Rome,43.2128,-75.4557,22.59,87,100,0.45,US,1662997513
133,Türkan,40.3639,50.215,24.1,64,0,6.17,AZ,1662997810
134,Arrondissement de Mayenne,48.3333,-0.6667,28.69,33,70,3.73,FR,1662997810
135,Katangli,51.7102,143.2326,11.29,95,98,1.97,RU,1662997811
136,Vardø,70.3705,31.1107,5.99,93,75,6.17,NO,1662997812
137,Paracuru,-3.41,-39.0306,30.34,55,45,7.83,BR,1662997812
138,Listvyanka,51.8535,104.8693,13.44,79,91,6.01,RU,1662997813
139,Clyde River,70.4692,-68.5914,4.13,93,100,3.6,CA,1662997814
140,Miyako,39.6367,141.9525,19.26,91,85,2.27,JP,1662997553
141,Faanui,-16.4833,-151.75,25.98,70,100,7.79,PF,1662997815
142,Srivilliputtur,9.5081,77.6336,27.27,63,8,4.07,IN,1662997816
143,Chui,-33.6971,-53.4616,16.48,70,86,4.47,UY,1662997594
144,Praia da Vitória,38.7333,-27.0667,24.14,78,20,7.04,PT,1662997816
145,Alta Floresta,-9.8756,-56.0861,34.9,43,29,3.6,BR,1662997816
146,Poum,-20.2333,164.0167,24.56,78,99,4.56,NC,1662997817
147,San Felipe,10.3399,-68.7425,30.57,62,37,1.16,VE,1662997522
148,Rānāvāv,21.6842,69.7408,27.0,87,100,6.39,IN,1662997817
149,Hasaki,35.7333,140.8333,21.27,92,72,5.35,JP,1662997588
150,Baryshivka,50.361,31.3217,11.49,89,98,2.8,UA,1662997818
151,Suntar,62.1444,117.6319,7.3,79,100,2.31,RU,1662997819
152,Lovozero,68.005,35.0117,7.73,88,63,3.22,RU,1662997819
153,Carnarvon,-24.8667,113.6333,20.41,78,9,8.13,AU,1662997820
154,Sarangani,5.4033,125.4636,28.58,73,69,4.26,PH,1662997820
155,Half Moon Bay,37.4636,-122.4286,20.34,82,100,3.6,US,1662997821
156,Sibolga,1.7427,98.7792,25.03,85,95,1.5,ID,1662997821
157,Korla,41.7597,86.1469,24.87,26,84,7.27,CN,1662997822
158,Nova Olímpia,-14.7972,-57.2881,41.58,12,48,1.33,BR,1662997822
159,Kostomuksha,64.571,30.5767,10.12,72,100,2.48,RU,1662997603
160,Arraial do Cabo,-22.9661,-42.0278,22.98,64,100,6.17,BR,1662997823
161,Mount Gambier,-37.8333,140.7667,3.75,84,8,0.97,AU,1662997823
162,Berlevåg,70.8578,29.0864,5.97,75,75,3.09,NO,1662997823
163,Atar,20.5169,-13.0499,39.97,20,27,4.01,MR,1662997823
164,Adrar,20.5022,-10.0711,39.19,16,98,2.85,MR,1662997824
165,Kavieng,-2.5744,150.7967,27.36,73,8,6.52,PG,1662997824
166,Puerto Carreño,6.189,-67.4859,26.99,83,40,2.06,CO,1662997824
167,Brigantine,39.4101,-74.3646,27.79,83,100,0.0,US,1662997825
168,Katsuura,35.1333,140.3,25.01,91,82,5.88,JP,1662997543
169,Kaitangata,-46.2817,169.8464,6.11,92,71,4.61,NZ,1662997825
170,Riyadh,24.6877,46.7219,40.08,9,53,3.47,SA,1662997825
171,Longkou,37.6508,120.3286,21.05,82,1,2.63,CN,1662997826
172,Sechura,-5.5569,-80.8222,22.3,60,71,5.22,PE,1662997826
173,Tautira,-17.7333,-149.15,25.79,71,100,9.47,PF,1662997826
174,Wahiawā,21.5028,-158.0236,23.26,83,40,2.06,US,1662997827
175,Tūkrah,32.5341,20.5791,27.06,69,0,4.69,LY,1662997722
176,Smithers,54.7804,-127.1743,1.18,100,40,0.0,CA,1662997827
177,Aklavik,68.2191,-135.0107,4.0,100,100,0.0,CA,1662997828
178,Bubaque,11.2833,-15.8333,26.52,81,85,7.47,GW,1662997828
179,Winneba,5.3511,-0.6231,25.25,79,100,5.41,GH,1662997828
180,Lompoc,34.6391,-120.4579,24.76,88,40,0.45,US,1662997829
181,Vao,-22.6667,167.4833,22.75,83,91,6.18,NC,1662997829
182,Ribeira Grande,38.5167,-28.7,25.22,78,40,5.14,PT,1662997829
183,Coquimbo,-29.9533,-71.3436,14.85,62,0,3.6,CL,1662997829
184,Lavrentiya,65.5833,-171.0,6.68,99,100,3.12,RU,1662997830
185,Svetlaya,46.5389,138.3297,14.99,77,24,2.47,RU,1662997830
186,George Town,5.4112,100.3354,27.96,87,20,1.54,MY,1662997701
187,Johannesburg,-26.2023,28.0436,25.42,24,56,2.24,ZA,1662997678
188,Thayetmyo,19.3167,95.1833,23.36,90,98,1.91,MM,1662997831
189,Inta,66.0317,60.1659,8.04,91,100,6.61,RU,1662997831
190,Dukat,62.55,155.55,1.55,98,100,1.36,RU,1662997831
191,Severo-Kuril'sk,50.6789,156.125,11.76,76,100,1.51,RU,1662997832
